파일	크기	매직	헤더크기	f08	f09	f10_11	f12_13
TO_BAST.GDT	23720	DA1	23720	6	42	8	288
TO01.GDT	37000	DA1	37000	5	70	4	296
TO01_M.GDT	4597	DA1	4597	61	8	8	216
TO02.GDT	44649	DA1	44649	5	70	4	296
TO02_M.GDT	10102	DA1	10102	15	14	8	264
TO03.GDT	38888	DA1	38888	5	70	4	296
TO03_M.GDT	10150	DA1	10150	41	17	8	264
TO03B.GDT	3400	DA1	3400	41	17	8	88
TO03C.GDT	1706	DA1	1706	12	19	145	151
TO04.GDT	43709	DA1	43709	5	70	4	296
TO05.GDT	37414	DA1	37414	5	70	4	296
TO05_M.GDT	7121	DA1	7121	58	9	16	264
TO05B.GDT	359	DA1	359	15	16	150	12
TO05C.GDT	599	DA1	599	20	13	114	77
TO05D.GDT	693	DA1	693	48	11	210	71
TO05E.GDT	851	DA1	851	20	14	135	161
TO06.GDT	44360	DA1	44360	5	70	4	296
TO06B.GDT	7624	DA1	7624	26	48	8	288
TO07.GDT	36286	DA1	36286	5	70	4	296
TO08.GDT	33499	DA1	33499	5	70	4	296
TO09.GDT	36002	DA1	36002	5	70	4	296
TO09_M.GDT	7820	DA1	7820	42	16	24	192
TO09B.GDT	18227	DA1	18227	6	67	11	285
TO09B_M.GDT	7753	DA1	7753	42	16	24	192
TO09C.GDT	7105	DA1	7105	6	66	11	285
TO09C_M.GDT	6364	DA1	6364	42	16	24	168
WAKU.GDT	2244	DA1	2244	2	76	0	397
WAKU2.GDT	2717	DA1	2717	5	70	4	296
XEN.GDT	1		0	0	0	0	0
XENON2.GDT	8632	DA1	8632	16	46	268	96
